"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Name","Locker_Name","Locker Box Door","Locker Size","Address","Location","PopupInfo","Latitude","Longitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac","Status"
"POINT (-73.94052126999998 40.71759430000003)","3","Brooklyn","301","34","53","18","7","Kingsland Ave and Withers Ave","GoLocker-Fantasy Deli Grocery","32","S","49 Kingsland Ave, Brooklyn NY 11211","Outdoor","GoLocker","40.7175943","-73.94052127","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.93322079999996 40.67225840000003)","3","Brooklyn","308","36","43","20","9","Utica Ave and Park Pl","GoLocker-Happy Land Deli","4","S","189 Utica Ave, Brooklyn NY 11213","Outdoor","GoLocker","40.6722584","-73.9332208","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00179120999996 40.64257003000006)","3","Brooklyn","312","38","49","17","10","8 Ave and 47 St","GoLocker-BSK Grocery","29","S","4701 8 Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.64257003","-74.00179121","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.99340389999998 40.61821980000008)","3","Brooklyn","311","43","49","17","11","18 ave and 66 St","GoLocker- SmokeStax","11","S","6607 18th Avenue, Brooklyn, NY 11204","Indoor","GoLocker","40.6182198","-73.9934039","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96377946999996 40.63576648000003)","3","Brooklyn","314","40","42","21","9","Newkirk Av and Rugby Rd","GoLocker- Clean n Green","13","S","1417 Newkirk Ave,Brooklyn, NY 11226","Indoor","GoLocker","40.63576648","-73.96377947","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96141119999999 40.58240690000008)","3","Brooklyn","313","48","46","23","8","Neptune Ave and E 11 St","GoLocker-Atlantic Export","31","S","141 Neptune Ave, Brooklyn NY 11235","Outdoor","GoLocker","40.5824069","-73.9614112","Brighton Beach","AE",,"1","Active"
"POINT (-73.96469583999993 40.60615210000003)","3","Brooklyn","315","44","45","22","9","Kings Hwy and E 8 St","GoLocker-SG Convenience","33","S","730 Kings Hwy, Brooklyn NY 11223","Outdoor","GoLocker","40.6061521","-73.96469584","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.97578049999998 40.611654900000076)","3","Brooklyn","311","44","47","17","9","McDonald Ave and Avenue O","GoLocker-Atlas Supermarket","30","S","1701 McDonald Ave, Brooklyn NY 11230","Outdoor","GoLocker","40.6116549","-73.9757805","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.99326999999994 40.68243000000007)","3","Brooklyn","306","39","52","26","10","Smith St and Sackett St","MobiCompu Repair","21","S","279 Smith St,Brooklyn, NY 11231","Indoor","GoLocker","40.68243","-73.99327","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.94052126999998 40.71759430000003)","3","Brooklyn","301","34","53","18","7","Kingsland Ave and Withers Ave","GoLocker-Fantasy Deli Grocery","15","L","49 Kingsland Ave, Brooklyn NY 11211","Outdoor","GoLocker","40.7175943","-73.94052127","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97490182999996 40.578603550000025)","3","Brooklyn","313","48","46","23","8","Sheepshead Bay Rd and W 6 St","GoLocker-Trump Village","9","S","608 Sheepshead Bay Rd, Brooklyn NY 11224","Outdoor","GoLocker","40.57860355","-73.97490183","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.97260284399994 40.58039856000005)","3","Brooklyn","313","47","46","23","8","W 5 St and Neptune Ave","GoLocker-505 Neptune Ave","13","S","505 Neptune Ave, Brooklyn, NY 11224","Outdoor","GoLocker","40.58039856","-73.9726028442","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-74.02722269999998 40.63609300000007)","3","Brooklyn","310","47","64","26","11","Bay Ridge Ave and 3 Ave","GoLocker- Superfresh- Bay Ridge","26","M","242 Bay Ridge Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.636093","-74.0272227","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95419359999994 40.64095480000003)","3","Brooklyn","317","45","42","21","9","Rogers Ave and Avenue D","GoLocker-Pedregal Grocery Deli Corp.","8","S","1190 Rogers Ave, Brooklyn NY 11226","Outdoor","GoLocker","40.6409548","-73.9541936","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.88388999999995 40.663020000000074)","3","Brooklyn","305","42","60","19","8","Linden Blvd and Ashford St","GoLocker- Farm Country- East New York","12","L","2205 Linden Blvd,Brooklyn,11207","Indoor","GoLocker","40.66302","-73.88389","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","4","Active"
