"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Name","Locker_Name","Locker Box Door","Locker Size","Address","Location","PopupInfo","Latitude","Longitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac","Status"
"POINT (-73.92680969999998 40.69464010000007)","3","Brooklyn","304","34","53","18","7","Evergreen Ave and Harmon St","GoLocker-GM Bani Grocery Deli Grill","17","S","311 Evergreen Ave, Brooklyn NY 11221","Outdoor","GoLocker","40.6946401","-73.9268097","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92680969999998 40.69464010000007)","3","Brooklyn","304","34","53","18","7","Evergreen Ave and Harmon St","GoLocker-GM Bani Grocery Deli Grill","22","S","311 Evergreen Ave, Brooklyn NY 11221","Outdoor","GoLocker","40.6946401","-73.9268097","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91127016999997 40.74472302000004)","4","Queens","402","26","37","12","6","53 St and Roosevelt Ave","GoLocker-Natures Vida","29","S","53-05 Roosevelt Ave, Woodside NY 11377","Outdoor","GoLocker","40.74472302","-73.91127017","Woodside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97190856999998 40.58029175000007)","3","Brooklyn","313","47","46","23","8","W 5 St and Neptune Ave","GoLocker- 2882 W 5th Street","32","S","2882 W 5th St, Brooklyn, NY 11224","Outdoor","GoLocker","40.58029175","-73.97190857","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.95419359999994 40.64095480000003)","3","Brooklyn","317","45","42","21","9","Rogers Ave and Avenue D","GoLocker-Pedregal Grocery Deli Corp.","20","M","1190 Rogers Ave, Brooklyn NY 11226","Outdoor","GoLocker","40.6409548","-73.9541936","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.95596312999999 40.60964966000006)","3","Brooklyn","315","48","45","22","9","Kings Hwy and 18 St","GoLocker- Good Zone Service & Repairs","24","L","1722 Kings Hwy,Brooklyn,NY 11229","Indoor","GoLocker","40.60964966","-73.95596313","Madison","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.97190856999998 40.58029175000007)","3","Brooklyn","313","47","46","23","8","W 5 St and Neptune Ave","GoLocker- 2882 W 5th Street","4","S","2882 W 5th St, Brooklyn, NY 11224","Outdoor","GoLocker","40.58029175","-73.97190857","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.94671799999998 40.62668006000007)","3","Brooklyn","318","45","42","21","9","Avenue J and Nostrand Ave","GoLocker-New Stanleys Grocery","4","S","2377 Nostrand Ave, Brooklyn NY 11210","Outdoor","GoLocker","40.62668006","-73.946718","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-74.01012278999997 40.68007048000004)","3","Brooklyn","306","38","51","26","10","Verona St and Van Brunt St","GoLocker-103 Verona St","32","S","103 Verona St, Brooklyn NY 11231","Outdoor","GoLocker","40.68007048","-74.01012279","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","AE",,"1","Active"
"POINT (-73.98791622999994 40.76471991000005)","1","Manhattan","104","3","67","47","12","9th Av and W 52nd St","Westside Home Center","61","S","778 9th Ave, New York, NY 10019","Outdoor","GoLocker","40.76471991","-73.98791623","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.90974528999999 40.77756086000005)","4","Queens","401","22","34","12","14","31st St and 21st Av","GoLocker- Astoria","20","S","21-38 31st St, Astoria, NY 11105","Indoor","GoLocker","40.77756086","-73.90974529","Astoria (North)-Ditmars-Steinway","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96987256999995 40.643639800000074)","3","Brooklyn","314","39","44","21","9","Coney Island Ave and Beverly Rd","GoLocker-Deli and Grill Corner Town","19","S","563 Coney Island Ave, Brooklyn NY 11218","Outdoor","GoLocker","40.6436398","-73.96987257","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01956969999998 40.62192422000004)","3","Brooklyn","310","38","46","26","11","7 Ave and 81 St","GoLocker-Brooklyn Finest Mini Market","33","S","8101 7 Ave, Brooklyn NY 11228","Outdoor","GoLocker","40.62192422","-74.0195697","Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01109999999994 40.629200000000026)","3","Brooklyn","310","38","49","17","11","Fort Hamilton Pkwy and 68 St","GoLocker- 6723 Convenience Store","22","S","6723 Fort Hamilton Parkway Brooklyn NY 11219","Indoor","GoLocker","40.6292","-74.0111","Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96987256999995 40.643639800000074)","3","Brooklyn","314","39","44","21","9","Coney Island Ave and Beverly Rd","GoLocker-Deli and Grill Corner Town","24","L","563 Coney Island Ave, Brooklyn NY 11218","Outdoor","GoLocker","40.6436398","-73.96987257","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.93933828999997 40.69122557000003)","3","Brooklyn","303","36","56","25","8","Lafayette Av and Marcus Garvey Blvd","Ideal Food Basket- Lafayette Ave","39","S","830 Lafayette Ave, Brooklyn, NY 11221","Outdoor","GoLocker","40.69122557","-73.93933829","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.93322079999996 40.67225840000003)","3","Brooklyn","308","36","43","20","9","Utica Ave and Park Pl","GoLocker-Happy Land Deli","2","S","189 Utica Ave, Brooklyn NY 11213","Outdoor","GoLocker","40.6722584","-73.9332208","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.88959806999998 40.74910896000006)","4","Queens","403","25","39","13","6","37th Av and 77th St","GoLocker- Foodtown Jackson Heights","7","M","76-10 37th Ave, Jackson Heights, NY 11372","Outdoor","GoLocker","40.74910896","-73.88959807","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91612262999996 40.74076491000005)","4","Queens","402","26","37","12","7","49th St and 47th Av","Cosmopolitan Houses- Sunnyside","14","S","47-01 49th Street,Queens, NY 11377","Outdoor","GoLocker","40.74076491","-73.91612263","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92422999999997 40.76285000000007)","4","Queens","401","22","36","59","14","31 St and Broadway","GoLocker- Astoria Central Parking","3","S","31-57 31st Street,Astoria, NY 11106","Indoor","GoLocker","40.76285","-73.92423","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01956969999998 40.62192422000004)","3","Brooklyn","310","38","46","26","11","7 Ave and 81 St","GoLocker-Brooklyn Finest Mini Market","24","L","8101 7 Ave, Brooklyn NY 11228","Outdoor","GoLocker","40.62192422","-74.0195697","Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94671799999998 40.62668006000007)","3","Brooklyn","318","45","42","21","9","Avenue J and Nostrand Ave","GoLocker-New Stanleys Grocery","10","S","2377 Nostrand Ave, Brooklyn NY 11210","Outdoor","GoLocker","40.62668006","-73.946718","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.92052076999994 40.74186858000007)","4","Queens","402","26","37","12","7","Greenpoint Av and 47th Av","GoLocker - Green Valley Sunnyside","13","S","44-01 Greenpoint Ave, Long Island City, NY 11104","Outdoor","GoLocker","40.74186858","-73.92052077","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97578049999998 40.611654900000076)","3","Brooklyn","311","44","47","17","9","McDonald Ave and Avenue O","GoLocker-Atlas Supermarket","35","L","1701 McDonald Ave, Brooklyn NY 11230","Outdoor","GoLocker","40.6116549","-73.9757805","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.97825039999998 40.63126100000005)","3","Brooklyn","312","44","48","22","9","18 Ave and Seton Pl","GoLocker-Infinity Wireless","19","S","4219 18th Avenue, Brooklyn, NY 11218","Indoor","GoLocker","40.631261","-73.9782504","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96083494999993 40.65847651000007)","3","Brooklyn","309","40","43","20","9","Flatbush Ave and Chester Ct","GoLocker-Chester Pharmacy","21","M","614 Flatbush Ave, Brooklyn 11225","Outdoor","GoLocker","40.65847651","-73.96083495","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98791622999994 40.76471991000005)","1","Manhattan","104","3","67","47","12","9th Av and W 52nd St","Westside Home Center","14","L","778 9th Ave, New York, NY 10019","Outdoor","GoLocker","40.76471991","-73.98791623","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96083494999993 40.65847651000007)","3","Brooklyn","309","40","43","20","9","Flatbush Ave and Chester Ct","GoLocker-Chester Pharmacy","20","M","614 Flatbush Ave, Brooklyn 11225","Outdoor","GoLocker","40.65847651","-73.96083495","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02484515999998 40.62449916000003)","3","Brooklyn","310","47","46","26","11","5 Ave and 82 St","GoLocker-82nd Deli and Grocery","18","S","8126 5 Ave, Brooklyn NY 11209","Outdoor","GoLocker","40.62449916","-74.02484516","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96926879999995 40.580711360000066)","3","Brooklyn","313","48","46","23","8","Neptune Ave and Ocean Pkwy","GoLocker-425 Neptune Ave","18","S","425 Neptune Ave, Brooklyn, NY 11224","Outdoor","GoLocker","40.58071136","-73.9692688","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.99882532999999 40.64562710000007)","3","Brooklyn","312","38","51","17","10","8 Ave and 42 St","Lucky Grocery","7","M","4123 8th Ave, Brooklyn NY 11232","Outdoor","GoLocker","40.6456271","-73.99882533","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92422999999997 40.76285000000007)","4","Queens","401","22","36","59","14","31 St and Broadway","GoLocker- Astoria Central Parking","28","S","31-57 31st Street,Astoria, NY 11106","Indoor","GoLocker","40.76285","-73.92423","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.89212999999995 40.75991000000005)","4","Queens","403","25","34","13","14","31 Ave and 77 St","Farm Country Supermarket","26","M","75-55 31st Ave,East Elmhurst, NY 11370","Indoor","GoLocker","40.75991","-73.89213","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.88959806999998 40.74910896000006)","4","Queens","403","25","39","13","6","37th Av and 77th St","GoLocker- Foodtown Jackson Heights","27","S","76-10 37th Ave, Jackson Heights, NY 11372","Outdoor","GoLocker","40.74910896","-73.88959807","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94373545999997 40.647538360000055)","3","Brooklyn","317","45","42","21","9","Brooklyn Av and Tilden Av","Ideal Food Basket- Brooklyn Ave","40","S","1086 Brooklyn Ave, Brooklyn, NY 11203","Outdoor","GoLocker","40.64753836","-73.94373546","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91777999999994 40.71121000000005)","4","Queens","405","34","37","12","7","Troutman St and Woodward Av","Sherman Parking","3","S","1870 Troutman Street,Ridgewood,NY 11385","Indoor","GoLocker","40.71121","-73.91778","Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96141119999999 40.58240690000008)","3","Brooklyn","313","48","46","23","8","Neptune Ave and E 11 St","GoLocker-Atlantic Export","21","M","141 Neptune Ave, Brooklyn NY 11235","Outdoor","GoLocker","40.5824069","-73.9614112","Brighton Beach","AE",,"1","Active"
"POINT (-73.95754688999995 40.67281957000006)","3","Brooklyn","308","35","57","20","9","Franklin Av and St Johns Pl","Franklin Express Laundry","30","S","770 Franklin Ave, Brooklyn, NY 11238","Indoor","GoLocker","40.67281957","-73.95754689","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98421959999996 40.61169932000007)","3","Brooklyn","311","43","47","17","11","Bay Pkwy and Bay Ridge Ave","GoLocker- Repairs Bay","18","S","6908 Bay Pkwy, Brooklyn, NY 11204","Indoor","GoLocker","40.61169932","-73.9842196","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.88388999999995 40.663020000000074)","3","Brooklyn","305","42","60","19","8","Linden Blvd and Ashford St","GoLocker- Farm Country- East New York","18","S","2205 Linden Blvd,Brooklyn,11207","Indoor","GoLocker","40.66302","-73.88389","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","4","Active"
"POINT (-73.96484999999996 40.58176490000005)","3","Brooklyn","313","48","46","23","8","Neptune Ave and Brighton 7 St","GoLocker-Eastern Grocery","33","S","231 Neptune Ave,Brooklyn NY 11235","Outdoor","GoLocker","40.5817649","-73.96485","Brighton Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","Active"
"POINT (-74.00808176999993 40.64352783000004)","3","Brooklyn","307","43","49","17","10","6th Ave and 51st St","GoLocker- City Fresh Market","11","M","5009 6th Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.64352783","-74.00808177","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97825039999998 40.63126100000005)","3","Brooklyn","312","44","48","22","9","18 Ave and Seton Pl","GoLocker-Infinity Wireless","8","S","4219 18th Avenue, Brooklyn, NY 11218","Indoor","GoLocker","40.631261","-73.9782504","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91612262999996 40.74076491000005)","4","Queens","402","26","37","12","7","49th St and 47th Av","Cosmopolitan Houses- Sunnyside","11","M","47-01 49th Street,Queens, NY 11377","Outdoor","GoLocker","40.74076491","-73.91612263","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96408549999995 40.59841620000003)","3","Brooklyn","315","48","45","22","8","Coney Island Ave and Avenue U","GoLocker-Quick Shoppy","17","S","2404 Coney Island Ave, Brooklyn NY 11223","Outdoor","GoLocker","40.5984162","-73.9640855","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","3","Active"
"POINT (-73.91711681999993 40.769683360000045)","4","Queens","401","22","36","59","14","Astoria Blvd and 33 St","GoLocker-Astoria Beer and Market","24","L","32-14 Astoria Blvd, Astoria NY 11102","Outdoor","GoLocker","40.76968336","-73.91711682","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98083796999998 40.728865330000076)","1","Manhattan","103","2","74","27","10","E 12th St and Avenue A","GoLocker 508","24","M","508  East 12th St, Newyork, NY 10009","Indoor","GoLocker","40.72886533","-73.98083797","East Village","X","AREA OF MINIMAL FLOOD HAZARD","2","Active"
"POINT (-73.96927363999998 40.677445360000036)","3","Brooklyn","308","35","52","20","10","Vanderbilt Av and Prospect Pl","GoLocker- Foodtown Prospect Heights","24","L","632 Vanderbilt Ave, Brooklyn, NY 11238","Outdoor","GoLocker","40.67744536","-73.96927364","Prospect Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.90845769999999 40.69149220000003)","3","Brooklyn","304","37","54","18","7","Knickerbocker Ave and Schaefer St","GoLocker-Savs Deli","9","S","856 Knickerbocker Ave, Brooklyn NY 11207","Outdoor","GoLocker","40.6914922","-73.9084577","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96377946999996 40.63576648000003)","3","Brooklyn","314","40","42","21","9","Newkirk Av and Rugby Rd","GoLocker- Clean n Green","35","M","1417 Newkirk Ave,Brooklyn, NY 11226","Indoor","GoLocker","40.63576648","-73.96377947","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01109999999994 40.629200000000026)","3","Brooklyn","310","38","49","17","11","Fort Hamilton Pkwy and 68 St","GoLocker- 6723 Convenience Store","38","M","6723 Fort Hamilton Parkway Brooklyn NY 11219","Indoor","GoLocker","40.6292","-74.0111","Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98278399999998 40.69107810000003)","3","Brooklyn","302","33","52","26","10","Albee Square W and Fulton St","City Point- 2","30","S","445 Albee Square W, Brooklyn, NY 11201","Indoor","GoLocker","40.6910781","-73.982784","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91127016999997 40.74472302000004)","4","Queens","402","26","37","12","6","53 St and Roosevelt Ave","GoLocker-Natures Vida","9","S","53-05 Roosevelt Ave, Woodside NY 11377","Outdoor","GoLocker","40.74472302","-73.91127017","Woodside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95754688999995 40.67281957000006)","3","Brooklyn","308","35","57","20","9","Franklin Av and St Johns Pl","Franklin Express Laundry","5","S","770 Franklin Ave, Brooklyn, NY 11238","Indoor","GoLocker","40.67281957","-73.95754689","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98791622999994 40.76471991000005)","1","Manhattan","104","3","67","47","12","9th Av and W 52nd St","Westside Home Center","33","S","778 9th Ave, New York, NY 10019","Outdoor","GoLocker","40.76471991","-73.98791623","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98397936999999 40.725865750000025)","1","Manhattan","103","2","74","27","10","Avenue A and E 6 St","Gentle Wash","20","S","97 Ave A, New York, NY 10009","Indoor","GoLocker","40.72586575","-73.98397937","East Village","X","AREA OF MINIMAL FLOOD HAZARD","4","Active"
"POINT (-73.95393796999997 40.71039021000007)","3","Brooklyn","301","34","53","18","7","E 17 St and Church Ave","GoLocker-Downtown Natural Market","5","S","1701 Church Ave, Brooklyn NY 11226","Outdoor","GoLocker","40.71039021","-73.95393797","Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.94831486999993 40.66270825000004)","3","Brooklyn","309","40","43","20","9","Lefferts Ave and New York Ave","GoLocker-Lefferts Ave","12","M","393 Lefferts Ave, Brooklyn NY 11225","Outdoor","GoLocker","40.66270825","-73.94831487","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02484515999998 40.62449916000003)","3","Brooklyn","310","47","46","26","11","5 Ave and 82 St","GoLocker-82nd Deli and Grocery","16","M","8126 5 Ave, Brooklyn NY 11209","Outdoor","GoLocker","40.62449916","-74.02484516","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95792197999998 40.676043950000064)","3","Brooklyn","308","35","57","25","9","St Marks Av and Classon Av","GoLocker- St. Marks","38","S","500 St Marks Ave, Brooklyn, NY 11238","Outdoor","GoLocker","40.67604395","-73.95792198","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.93933828999997 40.69122557000003)","3","Brooklyn","303","36","56","25","8","Lafayette Av and Marcus Garvey Blvd","Ideal Food Basket- Lafayette Ave","59","S","830 Lafayette Ave, Brooklyn, NY 11221","Outdoor","GoLocker","40.69122557","-73.93933829","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97567478999997 40.631250410000064)","3","Brooklyn","314","40","48","22","9","18 Ave and Seton Pl","GoLocker-Infinity Wireless","35","M","4219 18 Ave, Brooklyn NY 11218","Indoor","GoLocker","40.63125041","-73.97567479","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92680969999998 40.69464010000007)","3","Brooklyn","304","34","53","18","7","Evergreen Ave and Harmon St","GoLocker-GM Bani Grocery Deli Grill","5","S","311 Evergreen Ave, Brooklyn NY 11221","Outdoor","GoLocker","40.6946401","-73.9268097","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91255056999995 40.76318052000005)","4","Queens","401","22","34","12","14","30th Av and 43rd St","GoLocker- KeyFood Woodside","48","S","42-15 30th Ave., Astoria, NY 11103","Outdoor","GoLocker","40.76318052","-73.91255057","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.03019782999996 40.62514951000003)","3","Brooklyn","310","47","46","26","11","3 Ave and 84 St","GoLocker- iFix- Bay Ridge","14","L","8319 3rd Ave,Brooklyn, NY 11209","Indoor","GoLocker","40.62514951","-74.03019783","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00619684999998 40.60410735000005)","3","Brooklyn","311","38","47","17","11","18 Ave and Bath Ave","GoLocker-MGM Deli and Grocery","2","S","1769 Bath Ave, Brooklyn 11214","Outdoor","GoLocker","40.60410735","-74.00619685","Bath Beach","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-74.01125527999994 40.63760442000006)","3","Brooklyn","307","43","49","17","10","59 St and 7 Ave","GoLocker-You Fresh Mart","15","L","5822 7th Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.63760442","-74.01125528","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92412426999994 40.770662730000026)","4","Queens","401","22","36","59","14","Newtown Av and Crescent St","GoLocker- Newtown","13","S","2330 Newtown Ave, Long Island City, NY 11102","Outdoor","GoLocker","40.77066273","-73.92412427","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.97836999999998 40.605030000000056)","3","Brooklyn","311","43","47","17","9","Kings Hwy and W 5 St","GoLocker- KeyFood- Gravesend","17","S","319 Kings Highway Brooklyn NY 11223","Outdoor","GoLocker","40.60503","-73.97837","Gravesend (West)","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-74.02427657999993 40.62009646000007)","3","Brooklyn","310","47","46","26","11","Fort Hamilton Pkwy and 86 St","GoLocker-Sophie's Furniture","24","L","558 86 St, Brooklyn NY 11209","Outdoor","GoLocker","40.62009646","-74.02427658","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92314804999995 40.701279670000076)","3","Brooklyn","304","37","53","18","7","Knickerbocker Ave and Hart St","GoLocker-Laundry Station","25","M","334 Knickerbocker Ave, Brooklyn NY 11237","Indoor","GoLocker","40.70127967","-73.92314805","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00808176999993 40.64352783000004)","3","Brooklyn","307","43","49","17","10","6th Ave and 51st St","GoLocker- City Fresh Market","35","M","5009 6th Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.64352783","-74.00808177","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.03019782999996 40.62514951000003)","3","Brooklyn","310","47","46","26","11","3 Ave and 84 St","GoLocker- iFix- Bay Ridge","1","M","8319 3rd Ave,Brooklyn, NY 11209","Indoor","GoLocker","40.62514951","-74.03019783","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01125527999994 40.63760442000006)","3","Brooklyn","307","43","49","17","10","59 St and 7 Ave","GoLocker-You Fresh Mart","20","M","5822 7th Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.63760442","-74.01125528","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91777999999994 40.71121000000005)","4","Queens","405","34","37","12","7","Troutman St and Woodward Av","Sherman Parking","4","L","1870 Troutman Street,Ridgewood,NY 11385","Indoor","GoLocker","40.71121","-73.91778","Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94373545999997 40.647538360000055)","3","Brooklyn","317","45","42","21","9","Brooklyn Av and Tilden Av","Ideal Food Basket- Brooklyn Ave","37","S","1086 Brooklyn Ave, Brooklyn, NY 11203","Outdoor","GoLocker","40.64753836","-73.94373546","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02722269999998 40.63609300000007)","3","Brooklyn","310","47","64","26","11","Bay Ridge Ave and 3 Ave","GoLocker- Superfresh- Bay Ridge","37","M","242 Bay Ridge Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.636093","-74.0272227","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01012278999997 40.68007048000004)","3","Brooklyn","306","38","51","26","10","Verona St and Van Brunt St","GoLocker-103 Verona St","4","S","103 Verona St, Brooklyn NY 11231","Outdoor","GoLocker","40.68007048","-74.01012279","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","AE",,"1","Active"
"POINT (-73.88959806999998 40.74910896000006)","4","Queens","403","25","39","13","6","37th Av and 77th St","GoLocker- Foodtown Jackson Heights","11","M","76-10 37th Ave, Jackson Heights, NY 11372","Outdoor","GoLocker","40.74910896","-73.88959807","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92820079999996 40.67103950000006)","3","Brooklyn","308","36","55","20","9","Sterling Pl and Buffalo Ave","GoLocker-Francena Mini Market Food","24","L","1608 Sterling Place, Brooklyn NY 11213","Outdoor","GoLocker","40.6710395","-73.9282008","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95934939999995 40.691084240000066)","3","Brooklyn","303","33","57","25","7","Taaffe Pl and DeKalb Av","GoLocker- Taaffe Pl","8","M","241 Taaffe Pl, Brooklyn, NY 11205","Outdoor","GoLocker","40.69108424","-73.9593494","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96279774999994 40.64171275000007)","3","Brooklyn","314","40","42","21","9","E 17 St and Cortelyou Rd","GoLocker-Cortelyou Gourmet Deli","35","L","1626 Cortelyou Rd, Brooklyn 11226","Outdoor","GoLocker","40.64171275","-73.96279775","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.93322079999996 40.67225840000003)","3","Brooklyn","308","36","43","20","9","Utica Ave and Park Pl","GoLocker-Happy Land Deli","24","L","189 Utica Ave, Brooklyn NY 11213","Outdoor","GoLocker","40.6722584","-73.9332208","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02809999999994 40.63166000000007)","3","Brooklyn","310","47","46","26","11","3 Ave and Bay Ridge Pkwy","GoLocker- KeyFood- Bay Ridge","2","S","7414 3rd Ave Brooklyn NY 11209","Outdoor","GoLocker","40.63166","-74.0281","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91255056999995 40.76318052000005)","4","Queens","401","22","34","12","14","30th Av and 43rd St","GoLocker- KeyFood Woodside","9","M","42-15 30th Ave., Astoria, NY 11103","Outdoor","GoLocker","40.76318052","-73.91255057","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
